ProjectID;Status_Contrato;Gestor_Contratante;Gestor_Contratada;N_Contrato;Empresa;Regional;Sistema;Plan_Med_Mes;Nome_Projeto;Escopo;Prioridade;Motivo_Prioridade;Ano_Obra;Progresso_Projeto;Status_Projeto;Duracao;Inicio_Previsto;Termino_Previsto;Inicio_Real;Termino_Real;Valor_Previsto;Aditivo;Justificativa_Aditivo;Medido;Saldo_Contrato;Disp_Ano;ETE;EEE;INT_CT;RCE;LRE;ETA;AAB;AAT;RDA;EAB;EAT;BOOSTER;RAB;RAT;CAP_SUP;CAP_SUB;CTS_GAP;CTS_CH;Data_Atualizacao;Atualizado_Por
1;Contratado;Aline;;CT 015/2023 ;SANEARES;Prolagos;;;ETE ARRAIAL;Elaboração de Projeto Executivo da Estação de Tratamento de Esgoto Arraial do Cabo-RJ.;;;;0,44;Atrasado;;;;01/01/2026;26/04/2026;1060000;;;480000;;;;;;;;;;;;;;;;;;;;;;
2;Contratado;Aline;;CT 064/2023 ;SONDOTÉCNICA;Norte;;;ETE PENHA;Projeto Executivo da Estação de Tratamento de Esgoto da Penha;;;;0,7;Em Risco;;;;31/12/2025;31/12/2025;1970000;;;1310000;;;;;;;;;;;;;;;;;;;;;;
3;Contratado;Aline;;CT 096/2025 ;SANEARES;Baixada 1;;;UT’S MAGÉ E RJ;Estudo de concepção de sistema de coleta em tempo seco para os municípios de Saquarema, Tanguá e Magé;;;;0,9;Em Linha;;;;31/12/2025;30/12/2025;730000;;;580000;;;;;;;;;;;;;;;;;;;;;;
4;Contratado;Aline;;CT 098/2024 ;EAGUA;Norte;;;SES PAVUNA;Elaboração do projeto executivo complementar ao sistema de esgotamento sanitário da Bacia da ETE PAVUNA, no Município do Rio de Janeiro.;;;;0,67;Em Linha;;;;21/05/2026;21/05/2026;5860000;;;3570000;;;;;;;;;;;;;;;;;;;;;;
5;Equalização;Aline;;;SANEARES;Geral;;;TAC 2026 (8 UND);Projeto Executivo para atendimento do TAC Inea;;;;;Em Risco;;;;;;1500000;;;;;;;;;;;;;;;;;;;;;;;;;
6;TR em Elaboração;Aline;;;;Leste;;;ETE APOLLO;Projeto Executivo;;;;;Em Linha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;TR em Elaboração;Aline;;;;Leste;;;ETE JARDIM CATARINA;Projeto Executivo;;;;;Em Linha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Contratado;Felipe;;CT 080/2025 ;PROSERENCO;Interior;;;ADUTORA RIO BONITO - TANGUÁ (DENTRO CONTRATO SARAPUÍ);Aditivo Elaboração de projeto executivo para interligação de AAT entre os municipios de Rio Bonito e Tanguá;;;;;Em Linha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Contratado;Felipe;;CT 133/2025;PROSERENCO;Interior;;;ETA BARRA SECA;Aditivo para revisão de Projeto Executivo para implantação de filtros Zeólitcas;;;;;Em Linha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Contratado;Felipe;Hebert;CT 122/2024 ;SANEARES;Leste;;Sim;ETA MARICÁ;Projeto Executivo do Sistema de Tratamento de Lodo e Adequação Operacional das ETA Porto das Caixas e Maricá;;;;0,7;Em Linha;;;;28/02/2026;28/02/2026;230000;;;156209,4;;;;;;;;;;;;;;;;;;;;;;
