ProjectID;Status_Contrato;Gestor_Contratante;Gestor_Contratada;N_Contrato;Empresa;Regional;Sistema;Plan_Med_Mes;Nome_Projeto;Escopo;Prioridade;Motivo_Prioridade;Ano_Obra;Progresso_Projeto;Status_Projeto;Duracao;Inicio_Previsto;Termino_Previsto;Inicio_Real;Termino_Real;Valor_Previsto;Aditivo;Justificativa_Aditivo;Medido;Saldo_Contrato;Disp_Ano;ETE;EEE;INT_CT;RCE;LRE;ETA;AAB;AAT;RDA;EAB;EAT;BOOSTER;RAB;RAT;CAP_SUP;CAP_SUB;CTS_GAP;CTS_CH;Data_Atualizacao;Atualizado_Por
1;Contratado;Aline;;015/2023;SANEARES;Prolagos;;;ETE ARRAIAL;Elaboração de Projeto Executivo da Estação de Tratamento de Esgoto Arraial do Cabo-RJ.;;;;0,44;Atrasado;;;01/01/2026;;26/04/2026;428530;627415;;538693,77;;;;;;;;;;;;;;;;;;;;;;
2;Contratado;Aline;;064/2023;SONDOTÉCNICA;Norte;;;ETE PENHA;Projeto Executivo da Estação de Tratamento de Esgoto da Penha;;;;0,7;Em Risco;;;31/12/2025;;31/12/2025;2007019,38;0;;1778150,8;;;;;;;;;;;;;;;;;;;;;;
3;Contratado;Aline;;096/2025;SANEARES;Baixada 1;;;UT’S MAGÉ E RJ;Estudo de concepção de sistema de coleta em tempo seco para os municípios de Saquarema, Tanguá e Magé;;;;0,9;Em Linha;;;31/12/2025;;30/12/2025;572841;0;;174683,64;;;;;;;;;;;;;;;;;;;;;;
4;Contratado;Aline;;098/2024;EAGUA;Norte;;;SES PAVUNA;Elaboração do projeto executivo complementar ao sistema de esgotamento sanitário da Bacia da ETE PAVUNA, no Município do Rio de Janeiro.;;;;0,67;Em Linha;;;21/05/2026;;21/05/2026;5866180,31;0;;3602360,77;;;;;;;;;;;;;;;;;;;;;;
5;Equalização;Aline;;;SANEARES;Geral;;;TAC 2026 (8 UND);Projeto Executivo para atendimento do TAC Inea;;;;0;Em Risco;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
6;Contratado;Aline;;;AQUACON;Geral;;;TAC (AQUACON);Projeto Executivo;;;;1;Concluído;;;30/07/2025;;45731;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
7;TR em Elaboração;Aline;;;;Leste;;;ETE APOLLO;Projeto Executivo;;;;0;Em Linha;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
8;TR em Elaboração;Aline;;;;Leste;;;ETE JARDIM CATARINA;Projeto Executivo;;;;0;Em Linha;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
9;Contratado;Aline;;;;Baixada 2;;;ETE QUEIMADOS - ATO;Projeto Executivo;;;;1;Concluído;;;30/09/2024;;45565;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
10;Contratado;Aline;;;;Interior;;;ETA MIRACEMA - ATO;Projeto Executivo;;;;1;Concluído;;;30/07/2025;;03/09/2025;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
11;Contratado;Aline;;;;Interior;;;ETA CORDEIRO - ATO;Projeto Executivo;;;;1;Concluído;;;15/10/2024;;15/03/2025;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
12;Contratado;Felipe;;080/2025;PROSERENCO;Interior;;;ADUTORA RIO BONITO - TANGUÁ (DENTRO CONTRATO SARAPUÍ);Aditivo Elaboração de projeto executivo para interligação de AAT entre os municipios de Rio Bonito e Tanguá;;;;0;Em Linha;;;;;;1623279;0;;147049;;;;;;;;;;;;;;;;;;;;;;
13;Contratado;Beatriz;;129/2024;;Leste;;;AMPLIAÇÃO DA ETA MANILHA;Elaboração de projeto executivo da Ampliação da ETA Manilha e melhoria do Tratamento de Lodo em Itaboraí/RJ, unidade da REGIONAL LESTE. ;;;;1;Concluído;;;10/09/2024;;30/06/2025;499715;102000;;601715;;;;;;;;;;;;;;;;;;;;;;
14;Contratado;Felipe;;133/2025;PROSERENCO;Interior;;Sim;ETA BARRA SECA; Revisão do projeto executivo da ETA Barra Seca, localizada no município de São Francisco de Itabapoana/RJ, em área sob a responsabilidade da Concessionária Águas do Rio.;;;;0,186;Em Linha;90;05/01/2026;05/04/2026;05/01/2026;23/05/2026;97000;0;;0;;;;;;;;;;;;;;;;;;;;;;
15;Contratado;Beatriz;;129/2024;;Baixada 1;;;ETA PARQUE IMPÉRIO;Elaboração de projeto executivo de nova ETA com capacidade para 100 L/s, denominada ETA Parque Império, e reservatórios de água tratada, a serem implantados no município de Duque de Caxias/RJ, unidade da REGIONAL BAIXADA 1 ;;;;1;Concluído;;;23/04/2025;;30/11/2025;499715;102000;;601715;;;;;;;;;;;;;;;;;;;;;;
16;Contratado;Felipe;Hebert;122/2024;SANEARES;Leste;;Sim;ETA MARICÁ;Projeto Executivo do Sistema de Tratamento de Lodo e Adequação Operacional das ETA Porto das Caixas e Maricá;;;;0,7;Em Linha;;;28/02/2026;;28/02/2026;488385,16;0;;347132,73;;;;;;;;;;;;;;;;;;;;;;
17;Contratado;Felipe;Hebert;122/2024;SANEARES;Leste;;Sim;ETA PORTO DAS CAIXAS (SANEARES) & ETA MARICÁ;Projeto Executivo do Sistema de Tratamento de Lodo e Adequação Operacional das ETA Porto das Caixas e Maricá;;;;0,7;Em Linha;;;28/02/2026;;28/02/2026;488385,16;0;;347132,73;;;;;;;;;;;;;;;;;;;;;;
18;Contratado;Felipe;;080/2025;PROSERENCO;Baixada 1;;Sim;ETE SARAPUÍ;Elaboração de projeto executivo da Implantação da ampliação da ETE Sarapuí, no município de Belford Roxo. Vazão média de 1.225 L/s e máxima de 2.170 L/s REGIONAL BAIXADA 1. ;;;;0;Em Linha;;;10/09/2026;;10/09/2026;1623279;0;;147049;;;;;;;;;;;;;;;;;;;;;;
19;Contratado;Beatriz;;096/2022;;Norte;;;RECUPERAÇÃO ESTRUTURAL CAIXA TRANSIÇÃO E. BORGES;Elaboração do Projeto Executivo de Recuperação /Reforço Estrutural ou substituição da Laje de cobertura da Caixa de Transição Eufrásio Borges, unidade da REGIONAL NORTE. ;;;;1;Concluído;;;08/09/2024;;31/12/2025;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
20;Contratado;Beatriz;;017/2025;;Interior;;;REMANEJAMENTO ADUTORA CACHOEIRA DE MACACU;Elaboração do Projeto Executivo para o remanejamento de Adutora de Água Tratada 500mm em Cachoeira do Macacu-RJ, localizado na REGIONAL INTERIOR.;;;;1;Concluído;;;28/07/2025;;30/08/2025;23700;3300;;27000;;;;;;;;;;;;;;;;;;;;;;
21;Contratado;Felipe;Cristiane;002/2024;HIDROBR;Leste;;Sim;SAA  E SES SAQUAREMA;Elaboração de projeto executivo da Implantação do Sistema de Esgotamento Sanitário e do Sistema de Abastecimento de Água  de Sampaio Correia, REGIONAL LESTE. ;;;;0,7;Atrasado;;;16/08/2024;;46108;1903895,35;1190979,91;;2409453,96;;;;;;;;;;;;;;;;;;;;;;
22;Contratado;Beatriz;;040/2023;;Leste;;;SAA DE SÃO JOSÉ DO IMBASSAÍ;Elaboração do Projeto Executivo do Rede de Distribuição e Adutora 450mm(AAT), construção de um (1) Reservatório metálico (3.250m3), ampliação do Booster Ipiíba, 566 l/s (3+1)e projetos complementares, em São José do Imbassaí, Maricá, localizado na REGIONAL LESTE.;;;;1;Concluído;;;17/11/2023;;45507;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
23;Contratado;Felipe;Fabiele;102/2024;SANEARES;Interior;;Sim;SES APERIBÉ;Elaboração de projeto executivo de Implantação do Sistema de Esgotamento Sanitário ETE Aperibé 1 no Município de  Aperibé (RJ), REGIONAL INTERIOR. ;;;;0,68;Atrasado;;;19/04/2025;;46131;682711,11;327200;;460950,36;;;;;;;;;;;;;;;;;;;;;;
24;Contratado;Beatriz;;012/2024;;Interior;;;SES IPITUNA;Elaboração do Projeto Executivo de Implantação do Sistema de Esgotamento Sanitário ETE Ipituna no  Município de São Sebastião do Alto (RJ), da REGIONAL INTERIOR. ;;;;1;Concluído;;;10/09/2024;;45807;208300;25454,57;;233754,57;;;;;;;;;;;;;;;;;;;;;;
25;Contratado;Felipe;;043/2025;TPS;Prolagos;;Sim;CINTURÕES;Projeto executivo de sistema de esgotamento para complementação dos cinturões da lagoa de Araruama.;;;;0,67;Em Linha;;;31/12/2025;;31/12/2025;1339428,2;0;;897270,56;;;;;;;;;;;;;;;;;;;;;;
26;Contratado;Felipe;;046/2025;ESSE;Interior;;Sim;SES MIRACEMA (CRITICA);Projeto executivo de sistema de esgotamento (transporte e tratamento) para atendimento do distrito Sede de Miracema. ;;;;0,07;Atrasado;;;25/05/2026;;06/08/2026;788747,5;0;;113329,76;;;;;;;;;;;;;;;;;;;;;;
27;Contratado;Felipe;;087/2025;TPS;Prolagos;;Sim;FAZENDA LAGOA (TPS);Projeto executivo de sistema de esgotamento para atendimento de condomínio no município de Búzios.;;;;0,55;Atrasado;;;21/11/2025;;46073;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
28;Contratado;Felipe;Marilda;096/2025;NGA;Geral;;Sim;CTS SA, TA E ME;Estudo de concepção de sistema de coleta em tempo seco para os municípios de Saquarema, Tanguá e Magé;;;;0,02;Em Linha;;;19/02/2026;;19/02/2026;572841;0;;174683,64;;;;;;;;;;;;;;;;;;;;;;
29;Contratado;Felipe;Mario Costa;103/2025;HIDROCON;Geral;;Não;CTS NOVOS PONTOS;Projeto executivo de novos sistema de coleta em tempo seco para os municípios contratuais. Nilopolis, Mesquista e Nova Iguaçu;;;;0,5;Em Linha;;;23/07/2026;;23/07/2026;5798356,34;0;;1658696,53;;;;;;;;;;;;;;;;;;;;;;
30;Contratado;Felipe;Tiago;115/2025;TPS;Interior;;Sim;SES DUAS BARRAS;Projeto executivo de sistema de esgotamento (transporte e tratamento) para atendimento do distrito Sede e Monnerat de Duas Barras. ;;;;0;Em Linha;180;11/11/2025;30/07/2026;11/11/2025;30/07/2026;620000;0;;36220;;;;;;;;;;;;;;;;;;;;;;
31;Tomada de Preço;Felipe;;;;Prolagos;;N/A;SES BUZIOS - BAIRRO CAPÃO;Projeto executivo para expansão do SES no bairro de capão, buzios. A definir se será em RS, CTS ou misto.;;;;0;Em Linha;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
32;TR em Elaboração;Felipe;;;;Prolagos;;N/A;SES CABO FRIO - TAMOIOS;Projeto executivo para expansão do SES para Tamoios, Cabo Frio. A definir se será em RS, CTS ou misto.;;;;0;Em Linha;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
33;Tomada de Preço;Felipe;;;TPS;Prolagos;;N/A;CTS SACO DA LULA;"Projeto Executivo para CTS
Aguardando decisão da estratégia da Prolagos";;;;0;Em Linha;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
34;Assinatura;Felipe;;;ACQUALIS;Prolagos;;;ESTUDO HIDRODINÂMICO;Comporta rio salgado;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
35;Contratado;Roberth;;035/2025;CISM;Prolagos;;;ETE JARDIM ESPERANÇA;Projeto de Ampliação da unidade para 440 l/s;;;;1;ATO;;;28/08/2025;;28/08/2025;242500;0;;192300;;;;;;;;;;;;;;;;;;;;;;
36;Contratado;Roberth;;035/2025;CISM;Prolagos;;;ETE SIQUEIRA;Projeto de Ampliação da unidade para 416 l/s;;;;1;ATO;;;28/08/2025;;28/08/2025;242500;0;;192300;;;;;;;;;;;;;;;;;;;;;;
